param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, wv, epoch, accuracy, average accuracy, standard deviation
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 1, 29.46, 29.46, 0
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 2, 35.74, 32.6, 3.14
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 3, 38.81, 34.67, 3.89138
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 4, 36.27, 35.07, 3.44052
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 5, 53.96, 38.848, 8.15861
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 6, 30.91, 37.525, 8.01378
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 7, 46.97, 38.8743, 8.12218
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 8, 45.86, 39.7475, 7.9411
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 9, 44.08, 40.2289, 7.60974
